ID,Video Name,Video URL,Manual Complexity Level
114,"5th Grade Math 8.2, Word Problem Solving, Use Multiplication for Fraction Division",https://www.youtube.com/watch?v=bi2CLSuTmcs,hard
14,Ancient Greece for Kids | History Learning Video,https://www.youtube.com/watch?v=jloEzVh31TE,simple
18,Ancient Mesopotamia 101 | National Geographic,https://www.youtube.com/watch?v=xVf5kZA0HtQ,simple
121,Oral Poetry -War Poetry Lesson 5 -English Form 4- Topic Oral Poetry- KCSE Lesson Notes & Videos,https://www.youtube.com/watch?v=ghuuJNusnWE,hard
74,Why Are There So Many Foundation Models?,https://www.youtube.com/watch?v=QPQy7jUpmyA,simple
43,Column vector - (Lesson 6 of 16 Mathematics Form 2 Topic Vectors I ),https://www.youtube.com/watch?v=GuXXSrj7r4U,simple
59,The Process of Farming | Learn with BYJU'S,https://www.youtube.com/watch?v=Kxwdt0-wDyo,simple
186,The Living Organisms Characteristics & Habitats - FAQs | Class 6 Science Ch6 | CBSE 2024-25,https://www.youtube.com/watch?v=3c_dTtx7ob8,n/a
158,ICT (English medium)- Grade 10 Chapter 2 - (Part 3) -Fundamentals of a computer system.,https://www.youtube.com/watch?v=dANnzmxhlDE,hard
72,Five Steps to Create a New AI Model,https://www.youtube.com/watch?v=jcgaNrC4ElU,simple
105,"5th Grade Math 5.3, Estimate Decimal Quotients",https://www.youtube.com/watch?v=Jsu0HRcC40k,hard
66,Articles (Part 2),https://www.youtube.com/watch?v=6El9aRj5AVc,simple
92,Lewis Diagrams Grade 10,https://www.youtube.com/watch?v=d2JrfO1mNYU,simple
191,"Reflection and Mirrors - Lights, Shadows and Reflections | Class 6 Science Chapter 8 | CBSE 2024-25",https://www.youtube.com/watch?v=TrsIAqYDl2s,n/a
157,ICT Grade 10 (English Medium) Chapter 1 - (Part 2) -Information and Communication Technology,https://www.youtube.com/watch?v=78n4DdD4vtc,hard
64,Pronouns (Solved Questions),https://www.youtube.com/watch?v=6KOe1RHK_UQ,simple
12,The History of Civilization for Kids: How Civilization Began - FreeSchool,https://www.youtube.com/watch?v=IAQAAJo1fI0,simple
136,â€œChapter â€“ Mrs. Twitâ€|| Reference Guide || Grade 4 || Empowering English || ICSE,https://www.youtube.com/watch?v=OJEEHLKFqTU,hard
147,"â€œChapter 9 â€“ Corvus, The Intelligent Crowâ€|| English || Magic Lantern || Grade 7 || ICSE || CBSE",https://www.youtube.com/watch?v=5LUoVHGHW5o,hard
84,Mixture vs Pure Substance Grade 10,https://www.youtube.com/watch?v=TxpKUZpF_BI,n/a
188,Frequently Asked Questions - Motion and Measurement of Distances | Class 6 Science Chapter 7 |,https://www.youtube.com/watch?v=jiwhVLgOdc0,n/a
175,Frequently Asked Questions - Components of Food | Class 6 Science Chapter 1,https://www.youtube.com/watch?v=S6xeZKjYWBs,n/a
61,Parts of Speech: Nouns,https://www.youtube.com/watch?v=rEGircBQASI,simple
102,"5th Grade Math 3.11, Word Problem Solving, Add & Subtract Money",https://www.youtube.com/watch?v=MOlyYI6YdH0,hard
154,â€œCh.8 â€“ Mahavira & Buddhaâ€“ Great Preachersâ€|| ICSE || CBSE || Grade 6 || History & Civics,https://www.youtube.com/watch?v=aJvlfi7F-Xw,hard
16,Ancient Egypt 101 | National Geographic,https://www.youtube.com/watch?v=hO1tzmi1V5g,simple
182,Different Types of Joints - Body Movement | Class 6 Science Chapter 5,https://www.youtube.com/watch?v=fcTu-py3fqM,n/a
17,Indus Valley Civilization: Crash Course World History #2,https://www.youtube.com/watch?v=n7ndRwqJYDM,simple
15,Ancient Egypt for Kids,https://www.youtube.com/watch?v=lBYmOuajdC8,simple
39,Characteristics of Light | Grade 7 Science DepEd MELC Quarter 3 Module 4,https://www.youtube.com/watch?v=nuAA9OEINGc,simple
91,Periodic Table Grade 10,https://www.youtube.com/watch?v=WRNsXTyeZI0,simple
183,Frequently Asked Question - Body Movements | Class 6 Science Chapter 5 | CBSE 2024-25,https://www.youtube.com/watch?v=q_Ya9b8RIsg,n/a
9,Jackie Robinson for Kids | Biography Video,https://www.youtube.com/watch?v=wMMwBhkxBv0,simple
30,Lesson 11 - Review Of Improper Fractions - (5th Grade Math),https://www.youtube.com/watch?v=LDqQ9y5ILEc,simple
88,Naming Non Metals Grade 10,https://www.youtube.com/watch?v=GQws_qYdCz8,simple
70,Adjectives (Part 1),https://www.youtube.com/watch?v=BpoHDCo8RU4,simple
85,Homogenous vs Heterogenous Grade 10,https://www.youtube.com/watch?v=4ZGWxQEYzhI,simple
116,Magnetic Tape Pick Recorder & Moving Coil Loudspeaker -(Lesson 16 of 17 -Physics Form 2 Topic 6),https://www.youtube.com/watch?v=UNIQ14Fyjjs,hard
81,What is Random Forest?,https://www.youtube.com/watch?v=gkXX4h3qYm4,simple
49,"Microorganisms 02 - Bacteria, the Guys Everywhere",https://www.youtube.com/watch?v=vff_-xXJ0Zc,simple
166,Themes of Hope and Optimism; and Identity in An Artist of the Floating World | EasyElimu,https://www.youtube.com/watch?v=U2CQbGWnje4,hard
170,Parliament of Owls Theme 9 of 9: Corruption and Bribery - EasyElimu,https://www.youtube.com/watch?v=W3A3KYmnmyw,hard
54,Summary on Tissues,https://www.youtube.com/watch?v=fKlsEF9xVUE,simple
25,Lesson 6 - Prime Factorization - (5th Grade Math),https://www.youtube.com/watch?v=R68uRLRJssA,simple
162,The Changing Values in Japan and Intergenerational conflicts in An Artist of the Floating World,https://www.youtube.com/watch?v=oMZKjA6rauo,hard
106,"5th Grade Math 5.5, Model Dividing a Decimal by a Decimal",https://www.youtube.com/watch?v=NM3jjQfAGJs,n/a
53,Tissues,https://www.youtube.com/watch?v=pAuKju6eWJI,simple
126,INCREDIBLE SOUTH AMERICA || REFERENCE GUIDE || GRADE 4 ||  EMPOWERING ENGLISH,https://www.youtube.com/watch?v=1UYGhBT9urQ,hard
138,â€œPoem â€“ Flintâ€|| Reference Guide || ICSE || Empowering English || Grade 4,https://www.youtube.com/watch?v=h-nYNXfNqzE,hard
172,Stylistic Devices (Language and Style) in Act 4 of Parliament of Owls - EasyElimu,https://www.youtube.com/watch?v=zfGJ7bsNxt0,hard
10,"Urban, Suburban and Rural Areas for Kids",https://www.youtube.com/watch?v=YRxNQPmj1-8,simple
176,Frequently Asked Questions - Sorting Materials Into Groups | Class 6 Science Chapter 2,https://www.youtube.com/watch?v=DhXSwmFAo50,n/a
82,What are Autoencoders?,https://www.youtube.com/watch?v=qiUEgSCyY5o,simple
155,â€œCh.7 â€“ The Vedic Ageâ€ || Grade 6 || History & Civics || CBSE || ICSE,https://www.youtube.com/watch?v=igASGXSx8KY,hard
55,Introduction to Heredity and Evolution | Learn with BYJU'S,https://www.youtube.com/watch?v=MqBb44ubESQ,simple
48,Microorganisms Introduction,https://www.youtube.com/watch?v=sZbRyHOrE9I,simple
11,Goods and Services for Kids,https://www.youtube.com/watch?v=Jd4kD9TicbA,simple
146,â€œPoem â€“ Indiaâ€™s Prideâ€|| ICSE || CBSE || Grade 7 || Magic Lantern || English,https://www.youtube.com/watch?v=a2UfamERrE8,hard
33,"How to Use a Microscope, Magnification | Grade 7 Science DepEd MELC Quarter 2 Module 2",https://www.youtube.com/watch?v=c6vUNJzoON0,simple
111,"5th Grade Math 7.5, Compare Fraction Factors & Products",https://www.youtube.com/watch?v=ntQDtwr12tE,hard
132,â€œChapter â€“  Ruins in the Forest â€ || Reference Guide || Grade 4 || Empowring English || ICSE,https://www.youtube.com/watch?v=H9dp2kj2ffA,hard
87,Naming Metal and Non metal Grade 10,https://www.youtube.com/watch?v=AkXIYQusF38,simple
129,SPIES || REFERENCE GUIDE || ENGLISH || GRADE 4,https://www.youtube.com/watch?v=qVlF00t1SmQ,hard
47,The Position Vector   - (Lesson 10 of 16 Mathematics Form 2 Topic Vectors I ),https://www.youtube.com/watch?v=-55wnhLysdg,simple
90,Isotopes Grade 10 | Part 1,https://www.youtube.com/watch?v=vgEt7DCYVVo,simple
118,A Simple DC Motor -(Lesson 14 of 17 -Physics Form 2 -Topic Magnetic Effect of an Electric Current),https://www.youtube.com/watch?v=dHQ1BFuFmxM,hard
125,THE FLATTERED FLYING ðŸª½ FISHðŸŸ || ENGLISH POEM || SUMMARY || Empowering English || Grade 4,https://www.youtube.com/watch?v=h3yrPbid43s,hard
76,What are GANs (Generative Adversarial Networks)?,https://www.youtube.com/watch?v=TpMIssRdhco,simple
150,â€œChapter 7 â€“ My School Daysâ€|| Magic Lantern || CBSE || ICSE || Class 7 || English,https://www.youtube.com/watch?v=0OnqUl9TEds,hard
131,â€œPoem â€“ The Blind Boy â€|| Reference Guide || Class 4 || ICSE || English,https://www.youtube.com/watch?v=IBdaVasXf3g,hard
122,Oral Poetry - Lullabies Lesson 3- English Form 4- Topic Oral Poetry- KCSE Lesson Notes & Videos,https://www.youtube.com/watch?v=5X9VPVt29ks,hard
160,Language and Style in Episode 2 of An Artist of the Floating World | EasyElimu,https://www.youtube.com/watch?v=wfXwvXEj3RY,hard
173,What Do Various Nutrients Do for Our Body - Components of Food | Class 6 Science Chapter 1,https://www.youtube.com/watch?v=BXwJ1ACPPk8,n/a
44,Addition of column vectors   - (Lesson 7 of 16 Mathematics Form 2 Topic Vectors I ),https://www.youtube.com/watch?v=E60rkhIffew,simple
60,"General English for GATE, PSUs, and Placements",https://www.youtube.com/watch?v=_8gNaALlD5Y,simple
133,â€œChapter â€“ The Sea Stormâ€|| Reference Guide || Empowering English || Grade 4 || ICSE,https://www.youtube.com/watch?v=JTePlo1_xrw,hard
189,"Introduction - Lights, Shadows and Reflections - | Class 6 Science Chapter 8",https://www.youtube.com/watch?v=3bOJfnCVFsk,hard
130,â€œPOEM â€“ COLONEL FAZACKERLYâ€ || REFERENCE GUIDE || GRADE 4 || ENGLISH || ICSE,https://www.youtube.com/watch?v=Hd2CqfXkNEQ,hard
27,Lesson 8 - Renaming Fractions - (5th Grade Math),https://www.youtube.com/watch?v=vxth4e33HUU,simple
120,Children's Songs Lesson 1 - English Form 4 -Topic 4- Oral Poetry- KCSE Lesson Notes & Videos,https://www.youtube.com/watch?v=THyQ8iJZFck,hard
1,Adjectives for Kids | Homeschool Pop,https://www.youtube.com/watch?v=4jxXnHSbicY,simple
69,Articles (Solved Questions),https://www.youtube.com/watch?v=UOU9mOIDpGg,simple
57,Heredity and Evolution - Human Evolution,https://www.youtube.com/watch?v=P0DQgZSzgyM,simple
50,"Microorganisms - Fungi, the Death Lovers",https://www.youtube.com/watch?v=tw4MvuNyaM0,simple
6,Davy Crockett for Kids,https://www.youtube.com/watch?v=Pxt_uA8w-t4,simple
153,â€œChapter 9 â€“ The Rise of Magadhaâ€|| Reference Guide || Grade 6 || History & Civics || ICSE,https://www.youtube.com/watch?v=N8BtUZ8-3y4,hard
5,Thomas Jefferson for Kids,https://www.youtube.com/watch?v=uL_6b-k7aVI,simple
141,â€œPoem â€“ Godfrey Gordon Gustavus Goreâ€|| Reference Guide || Grade 4 || ICSE || Empowering English,https://www.youtube.com/watch?v=L2Wi_SRa1Ws,hard
179,Types of Roots - Getting to know Plants (Activity 3 and 4) | Class 6 Science Chapter 4,https://www.youtube.com/watch?v=uOKCkBnyZCU,n/a
96,"5th Grade Math 1.10, Numerical Expressions from Words",https://www.youtube.com/watch?v=eQgoDAsUW7Y,hard
144,â€œChapter 11 â€“ Malala =The girl who spoke outâ€|| English || Magic Lantern || Grade 7 || ICSE || CBSE,https://www.youtube.com/watch?v=pTa6Q7aizNc,hard
113,"5th Grade Math 8.1, Model to Divide Fractions and Whole Numbers",https://www.youtube.com/watch?v=BA0kznlaVFY,hard
46,Multiplication of Column Vector - (Lesson 9 of 16 Mathematics Form 2 Topic Vectors I ),https://www.youtube.com/watch?v=0Jc9gGXAil,n/a
145,â€œChapter 10 â€“ Little Brotherâ€|| Magic Lantern || Grade 7 || ICSE || CBSE || English,https://www.youtube.com/watch?v=NLT9LGTQzQQ,hard
99,"5th Grade Math 3.4, Round Decimals Using Place Value or Place-value Chart",https://www.youtube.com/watch?v=y-qf_h_LmY0,hard
152,Local Self - Government In Urban Areas: Municipal Bodies || Reference Guide || HISTORY & CIVICS,https://www.youtube.com/watch?v=KiuM_Rl_r8s,hard
41,Product of a Negative Scalar and a Vector   - (Lesson 4 of 16 Mathematics Form 2 Topic Vectors I ),https://www.youtube.com/watch?v=AKTvZCjowT4,simple
178,Frequently Asked Questions - Seperation of Substance | Class 6 Science Chapter 3,https://www.youtube.com/watch?v=dgEfoReeVZU,n/a
184,Habitat and Adaptation - The Living Organisms Characteristics & Habitats | Class 6 Science Chapter 6,https://www.youtube.com/watch?v=X0jpymLKxQY,n/a
100,"5th Grade Math 3.5, Model Decimal Addition",https://www.youtube.com/watch?v=HQJ8E5kdgbw,hard
185,Journey Through Different Habitat-The Living Organisms Characteristics & Habitats | Class 6 Science,https://www.youtube.com/watch?v=MNleMIhKjNc,n/a
140,â€œPoem â€“ The Cruel Naughty Boyâ€|| Empowering English || Grade 4 || ICSE,https://www.youtube.com/watch?v=3RpLhmciXuE,hard
115,Moving Coil-Meter & Earpieces - (Lesson 17 of 17 -Physics Form 2 - Topic 6),https://www.youtube.com/watch?v=RdqYqgyaiwI,hard
67,Articles (Part 3),https://www.youtube.com/watch?v=F5iLg8O7N4o,simple
165,"Themes of Admiration, Satisfaction and Reassurance; and Religion in An Artist of the Floating World",https://www.youtube.com/watch?v=iLTOU3INkkQ,hard
31,Lesson 12 - Review Of Mixed Fractions - (5th Grade Math),https://www.youtube.com/watch?v=xOHGaNF0tIg,simple
51,Microorganisms 04 - Creepy Protozoans,https://www.youtube.com/watch?v=RVZLYc46bzk,simple
28,"Lesson 9 - Simplifying Fractions, Part 1 - (5th Grade Math)",https://www.youtube.com/watch?v=7TgsXK0ZUu8,simple
124,POEM -ALL THINGS BRIGHT ðŸŒž AND BEAUTIFUL â¤ï¸ || EXPLAINATION || GRADE 4,https://www.youtube.com/watch?v=eyNj6UGFMB4,hard
42,Fractional scalar and a vector  - (Lesson 5 of 16 Mathematics Form 2 Topic Vectors I ),https://www.youtube.com/watch?v=CvUiS2Fu7d8,simple
26,Lesson 7 -  Equivalent Fractions - (5th Grade Math),https://www.youtube.com/watch?v=vzUaMZd5IeU,simple
