Video Name,Video URL,Complexity Level
Plant Parts and Functions for Kids,https://www.youtube.com/watch?v=18amLZ9vfG8,simple
Adjectives for Kids | Homeschool Pop,https://www.youtube.com/watch?v=4jxXnHSbicY,simple
Roman Numerals For Kids,https://www.youtube.com/watch?v=NrnXsKYpLJM,simple
Benjamin Franklin for Kids,https://www.youtube.com/watch?v=5LcMXnZfFFY,simple
Paul Revere for Kids,https://www.youtube.com/watch?v=dmwcfaythY4,simple
Thomas Jefferson for Kids,https://www.youtube.com/watch?v=uL_6b-k7aVI,simple
Davy Crockett for Kids,https://www.youtube.com/watch?v=Pxt_uA8w-t4,simple
Susan B. Anthony for Kids,https://www.youtube.com/watch?v=v23V-cHPpz4,simple
George Washington Carver for Kids,https://www.youtube.com/watch?v=X9Xyw43cC7M,simple
Jackie Robinson for Kids | Biography Video,https://www.youtube.com/watch?v=wMMwBhkxBv0,simple
"Urban, Suburban and Rural Areas for Kids",https://www.youtube.com/watch?v=YRxNQPmj1-8,simple
Goods and Services for Kids,https://www.youtube.com/watch?v=Jd4kD9TicbA,simple
The History of Civilization for Kids: How Civilization Began - FreeSchool,https://www.youtube.com/watch?v=IAQAAJo1fI0,simple
Traits of Civilization,https://www.youtube.com/watch?v=J2exRx5QMRU,simple
Ancient Greece for Kids | History Learning Video,https://www.youtube.com/watch?v=jloEzVh31TE,simple
Ancient Egypt for Kids,https://www.youtube.com/watch?v=lBYmOuajdC8,simple
Ancient Egypt 101 | National Geographic,https://www.youtube.com/watch?v=hO1tzmi1V5g,simple
Indus Valley Civilization: Crash Course World History #2,https://www.youtube.com/watch?v=n7ndRwqJYDM,simple
Ancient Mesopotamia 101 | National Geographic,https://www.youtube.com/watch?v=xVf5kZA0HtQ,simple
Indus Valley Civilization Facts - History of Ancient India | Educational Videos by Mocomi,https://www.youtube.com/watch?v=KhDY4KJuvc0,simple
01 - Review Of Fraction Concepts - (5th Grade Math),https://www.youtube.com/watch?v=xlK8Smp5Ug8,simple
Lesson 2 - Writing Fractions As Words - (5th Grade Math),https://www.youtube.com/watch?v=SKEmIj-YCPc,simple
Lesson 3 - Finding Factors Of Numbers - (5th Grade Math),https://www.youtube.com/watch?v=OWlvooseo_o,simple
Lesson 4 - Finding The Greatest Common Factor - (5th Grade Math),https://www.youtube.com/watch?v=U0-sgUCXHxA,simple
Lesson 5 - Finding The GCF Of 3 Numbers - (5th Grade Math),https://www.youtube.com/watch?v=2hWAL_HERag,simple
Lesson 6 - Prime Factorization - (5th Grade Math),https://www.youtube.com/watch?v=R68uRLRJssA,simple
Lesson 7 -  Equivalent Fractions - (5th Grade Math),https://www.youtube.com/watch?v=vzUaMZd5IeU,simple
Lesson 8 - Renaming Fractions - (5th Grade Math),https://www.youtube.com/watch?v=vxth4e33HUU,simple
"Lesson 9 - Simplifying Fractions, Part 1 - (5th Grade Math)",https://www.youtube.com/watch?v=7TgsXK0ZUu8,simple
"Lesson 10 - Simplifying Fractions, Part 2 (5th Grade Math)",https://www.youtube.com/watch?v=ZfO4TzfcTc0,simple
Lesson 11 - Review Of Improper Fractions - (5th Grade Math),https://www.youtube.com/watch?v=LDqQ9y5ILEc,simple
Lesson 12 - Review Of Mixed Fractions - (5th Grade Math),https://www.youtube.com/watch?v=xOHGaNF0tIg,simple
Microscope (Parts and Functions) | Grade 7 Science DepEd MELC Quarter 2 Module 1,https://www.youtube.com/watch?v=ZEF9mnL9_W0,simple
"How to Use a Microscope, Magnification | Grade 7 Science DepEd MELC Quarter 2 Module 2",https://www.youtube.com/watch?v=c6vUNJzoON0,simple
Levels of Biological Organization | Grade 7 Science DepEd MELC Quarter 2 Module 3,https://www.youtube.com/watch?v=ksLh67GPBTc,simple
Types of Reproduction: Sexual and Asexual | Grade 7 Science DepEd MELC Quarter 2 Module 5,https://www.youtube.com/watch?v=9AIBnaow5a0,simple
"Biotic & Abiotic Component, Ecological Relationships | Grade 7 Science DepEd MELC Quarter 2 Module 6",https://www.youtube.com/watch?v=IZoIvJEiNaM,simple
Effect of Changes in the Abiotic Factor on Ecosystem | Grade 7 Science DepEd MELC Quarter 2 Module 7,https://www.youtube.com/watch?v=wAPpAxfsars,simple
Visualizing Motion Using Tape Charts & Motion Graphs | Grade 7 Science DepEd MELC Quarter 3 Module 2,https://www.youtube.com/watch?v=ImkN3lC36vA,simple
Characteristics of Light | Grade 7 Science DepEd MELC Quarter 3 Module 4,https://www.youtube.com/watch?v=nuAA9OEINGc,simple
Equivalent vectors - (Lesson 1 of 16 Mathematics Form 2 Topic Vectors I ),https://www.youtube.com/watch?v=tngxz1Jr3ME,simple
Product of a Negative Scalar and a Vector   - (Lesson 4 of 16 Mathematics Form 2 Topic Vectors I ),https://www.youtube.com/watch?v=AKTvZCjowT4,simple
Fractional scalar and a vector  - (Lesson 5 of 16 Mathematics Form 2 Topic Vectors I ),https://www.youtube.com/watch?v=CvUiS2Fu7d8,simple
