Video Name,Video URL,Complexity Level,Cleaned Video Name,Frame Rate (fps),Scene Transition Rate (Per Min),Average Scene Duration (in Mins),Average Motion Intensity,Average Texture Contrast,Average Texture Homogeneity,Dominant Color Standard Deviation (R),Dominant Color Standard Deviation (G),Dominant Color Standard Deviation (B),Bit Rate (Mbps),Compression Ratio,Average PSNR (dB),Average SSIM,Average Color Standard Deviation (R),Average Color Standard Deviation (G),Average Color Standard Deviation (B)
Plant Parts and Functions for Kids,https://www.youtube.com/watch?v=18amLZ9vfG8,0,PlantPartsandFunctionsforKids,25.0,2.596278667243617,0.3718850574712644,1.8017478226423551,5111.683236843825,0.3791464277601791,82.99462371179531,68.28226976454089,67.97300400071643,0.1818548432960375,0.3962239989035596,46.20326732445567,0.9301278018734505,58.307155294070306,44.54866112668652,52.432823781972346
Adjectives for Kids | Homeschool Pop,https://www.youtube.com/watch?v=4jxXnHSbicY,0,AdjectivesforKidsHomeschoolPop,25.0,1.874560649847692,0.502078431372549,0.5693719557008282,3943.115690779647,0.3192011842422113,72.64877469691818,70.04355736385057,83.52672369898892,0.1613313910802155,0.2781945023850082,55.6944223098419,0.9716478151346754,47.85878429766946,49.947640001450786,72.32285304339156
Roman Numerals For Kids,https://www.youtube.com/watch?v=NrnXsKYpLJM,0,RomanNumeralsForKids,25.0,1.475893735651033,0.6098,1.1042554795609347,3996.529243111562,0.3623247475902089,80.94749790489108,78.24196145823342,75.80662640682841,0.176696206406472,0.2176826540601169,49.81371347002703,0.9384470476426384,65.29560136167737,64.68516388718666,72.46743129209469
Benjamin Franklin for Kids,https://www.youtube.com/watch?v=5LcMXnZfFFY,0,BenjaminFranklinforKids,25.0,7.554296506137867,0.1245882352941176,1.8677895438698568,4844.4730939311385,0.4123227000518892,72.42824944977875,78.06778490854819,77.09753740190085,0.2329621026125275,0.0996828420259353,37.4540328779253,0.9086002879545736,43.88274658140624,42.760733217721125,52.7782517909411
Paul Revere for Kids,https://www.youtube.com/watch?v=dmwcfaythY4,0,PaulRevereforKids,25.0,6.286013619696177,0.1497254901960784,2.819806238498374,6004.130269937275,0.4049924646740283,67.44825575892371,74.33305374619351,67.62571100749393,0.2180574122577265,0.1121307423214091,53.3703510683421,0.9181992830344918,37.90216150519257,41.06729999391058,40.33622635453675
Thomas Jefferson for Kids,https://www.youtube.com/watch?v=uL_6b-k7aVI,0,ThomasJeffersonforKids,25.0,2.6229508196721314,0.3388888888888888,2.483874760198551,4970.222446126386,0.4190818550124529,72.0170711611117,73.1876628486763,65.118796386359,0.1644785136612022,0.1013487018869931,44.01747672877754,0.9166913572792904,48.92471202006096,46.09761811929671,45.38586811574285
Davy Crockett for Kids,https://www.youtube.com/watch?v=Pxt_uA8w-t4,0,DavyCrockettforKids,25.0,2.014195281028199,0.4344166666666667,1.4067598105629615,4620.216593296614,0.45295447820413,65.5723969814768,71.74397697814916,72.16169469065798,0.1645054287358526,0.1155010357110542,45.95999931890129,0.9198630681375496,52.5523584831935,49.69756059088177,43.96966225059667
Susan B. Anthony for Kids,https://www.youtube.com/watch?v=v23V-cHPpz4,0,SusanBAnthonyforKids,25.0,3.1185031185031185,0.2915151515151515,1.7139484554481992,5146.1612052116425,0.4449518895331896,69.83693013479785,69.18852778636806,72.83762051016535,0.1675672349272349,0.1085555667283908,39.02001657764447,0.9149145566002236,54.86506165849675,48.21882790407118,50.7317124088882
George Washington Carver for Kids,https://www.youtube.com/watch?v=X9Xyw43cC7M,0,GeorgeWashingtonCarverforKids,25.0,4.0,0.2291666666666666,2.0461497716216943,4266.0606422898345,0.4780398755646549,60.30164457064754,67.79704331109401,75.93578892988498,0.1654971151515151,0.0919458855621106,38.8713314713502,0.9096712207475884,51.1147823896747,49.48660562161253,51.20175234435601
Jackie Robinson for Kids | Biography Video,https://www.youtube.com/watch?v=wMMwBhkxBv0,0,JackieRobinsonforKidsBiographyVideo,25.0,3.9173789173789175,0.2339999999999999,1.840025901416705,5654.522232445361,0.3979849542288856,59.8685072214706,61.92246937225457,66.77687638842782,0.1682834757834758,0.0954657865980263,38.69774409366662,0.8939021505093668,43.179169556153504,37.94266646474368,43.634550378760345
"Urban, Suburban and Rural Areas for Kids",https://www.youtube.com/watch?v=YRxNQPmj1-8,0,UrbanSuburbanandRuralAreasforKids,25.0,4.057517084282461,0.2401367521367521,1.5229089662104438,4786.339122616157,0.33137698568942,69.89924632258989,64.10803470788173,67.08409286679624,0.1633015233485193,0.3089745112370184,49.37638780128469,0.9454525895518608,46.600561161195834,45.34499953404882,48.450129839862825
Goods and Services for Kids,https://www.youtube.com/watch?v=Jd4kD9TicbA,0,GoodsandServicesforKids,25.0,2.6056745801968733,0.3542564102564102,1.1970575343360264,4018.816183893531,0.5356021029337678,77.73416628055065,67.4973867841775,76.45089437757153,0.1699961493920092,0.1581646164124867,43.82558669806986,0.9378971945076182,55.11659741891951,47.33134039843229,69.81844648833808
The History of Civilization for Kids: How Civilization Began - FreeSchool,https://www.youtube.com/watch?v=IAQAAJo1fI0,0,TheHistoryofCivilizationforKidsHowCivilizationBeganFreeSchool,29.97002997002997,4.012900418820081,0.2367365,5.116983906738023,3548.2476059667824,0.2209650267919323,69.45892675126461,64.75092488597915,68.95740160192256,0.3073813008696729,0.2940233630899188,18.73690026504337,0.5281453140999093,59.4620246407718,56.56053396123517,58.69275014715226
Traits of Civilization,https://www.youtube.com/watch?v=J2exRx5QMRU,0,TraitsofCivilization,25.0,7.966396292004635,0.1232857142857142,4.966730178381733,2357.910415832686,0.4210913433461026,56.1914558940099,59.921759409162064,61.78153184776848,0.2309272885283893,0.3220959153098967,19.91861411020733,0.7520964602196503,47.883808826348194,50.11008501281206,51.464398363073734
