Video URL,Video Title,Presentation Complexity
https://www.youtube.com/watch?v=WUCqyx8-jxc,Inequalities,hard
https://www.youtube.com/watch?v=xNZWb4ufpas,#class_6_English.#Complex_sentences_Topic.#Thursday_Lecture.#Activity_is_Grammar,hard
https://www.youtube.com/watch?v=6Jvcn93RF2I,CONTROL SYSTEM I Semester Question l 2023-2024 I MCQ & Section B,hard
https://www.youtube.com/watch?v=lpTEuqnFTHQ,Indian Market and its environment| unit 1 | marketing environment,hard
https://www.youtube.com/watch?v=d6A9G5fVy1o,4 p's of marketing| marketing mix,hard
https://www.youtube.com/watch?v=Lh0EmT3sDg8,9th T chemistry (chapter#8),hard
https://www.youtube.com/watch?v=QnHNrwFaavE,"10th T class chemistry (oxides of C, S and N)",hard
https://www.youtube.com/watch?v=N8D8ZPk_eOA,question 1,hard
https://www.youtube.com/watch?v=pw9YwLmDoT0,"the wind and a boy | Summary, title, themes, setting, characterisation",hard
https://www.youtube.com/watch?v=cllO8C7xz-M,"Grade 12 Finance (How to determine future value, scrap value)",hard
https://www.youtube.com/watch?v=Qps4o5oS5rQ,Grade 12 Finance (compound interest explained),hard
https://www.youtube.com/watch?v=oe1b45y1_UE,Grade 12 Finance ( How to calculate interest earned & Monthly installment),hard
https://www.youtube.com/watch?v=Mp5_ouj85JU,BETWEEN A ROCK AND A HARD PLACE BY,hard
https://www.youtube.com/watch?v=rVeu6HLZlwU,"1K SUBSCRIBERS-THANKS WE'RE MAKING IT HAPPEN,,,,,,, BETWEEN A ROCK AND A HARD PLACE",hard
https://www.youtube.com/watch?v=mZLsGdYbU2A,English IGCSE Revision session 2,hard
https://www.youtube.com/watch?v=6SOkhA3GMeA,English IGCSE Revision session 1,hard
https://www.youtube.com/watch?v=efkdmIzu5UQ,English IGCSE Revision Session 3,hard
https://www.youtube.com/watch?v=CuEZjTztniY,Lady Macbeth Acts 3 and 5,hard
https://www.youtube.com/watch?v=C8oY44PJzrY,Of Mice and Men Bunkhouse,hard
https://www.youtube.com/watch?v=TMYEIEBELEw,Dr Jekyll & Mr. Hyde Grade 9 Essay: The Duality of Human Nature,hard
https://www.youtube.com/watch?v=QCzup51XpsM,Escape from Aleppo Read Aloud Chapter 2,hard
https://www.youtube.com/watch?v=dcDiOi33C8U,Rifka chapter 20,hard
https://www.youtube.com/watch?v=AL5fPhTAUZc,10 Ambitious Words,hard
https://www.youtube.com/watch?v=2fQEzQ8UGeQ,"""Assessment objectives"": What Examiners Want To See In YOUR Language Paper 2 GCSE Exams",hard
https://www.youtube.com/watch?v=-k7ZSLB_RLk,"On an Afternoon Train from Purley to Victoria, 1955 by James Berry AQA Worlds",hard
https://www.youtube.com/watch?v=j5Jjng99gn0,In A London Drawingroom by George Eliot_ Context & Analysis!_AQA Worlds and Lives Anthology,hard
https://www.youtube.com/watch?v=eniw0M6Ftko,How To Write The Perfect Macbeth GCSE Essay On The Theme Of “Kingship”!,hard
https://www.youtube.com/watch?v=xTOeZAzeuUo,Scepticism & Cartesianism,hard
https://www.youtube.com/watch?v=-Xf_r9qS2SY,Whitehead's critique of Cartesian dualism,hard
https://www.youtube.com/watch?v=sSityAKl43E,Rationalism VS Empiricism #philosophy #PHIL-211A #pu,hard
https://www.youtube.com/watch?v=RTRdzYrGAGU,"GRADE 8, ENGLISH, UNIT 2",hard
https://www.youtube.com/watch?v=Y3vcC5jhxP4,"GRADE 9, UNIT 8, LESSON 2",hard
https://www.youtube.com/watch?v=RS69BcZH-nk,Solitude chapter 44,hard
https://www.youtube.com/watch?v=g0zbIn9REf0,Perhaps someday chapter 8,hard
https://www.youtube.com/watch?v=_iFaRrK-384,Most Repeated Previous Year Questions and Topics- INI-CET NEET-PG FMGE EPISODE-39,hard
https://www.youtube.com/watch?v=nN2wS70kXhc,"November 8, 2024(4)",hard
https://www.youtube.com/watch?v=9PXFxi2MnJ0,"Liver use of carb, lipid & protein Quick Overview",hard
https://www.youtube.com/watch?v=LpGlIM8fIGs,Mitochondria Fuel Sources Quick Overview,hard
https://www.youtube.com/watch?v=FWOqDc4nuac,Blood Vessel Substances Quick Overview,hard
https://www.youtube.com/watch?v=sF3rdBd5yDI,Tuberculosis Pathogenesis,hard
https://www.youtube.com/watch?v=_MVToutFaAc,"Protein Roles, Part 1",hard
https://www.youtube.com/watch?v=N8DrI133rWI,Clostridium perfringens,hard
https://www.youtube.com/watch?v=51S3tTirR_g,Congestive Heart Failure: Treatments,hard
https://www.youtube.com/watch?v=yAX2U4KGUS0,"Viruses - Lytic and Lysogenic, Part 2",hard
https://youtu.be/xAtb8X5aBj4?si=ng2KgPMEKsnRZhf_,Functions of the oesophagus,hard
https://youtu.be/OqLt8g9Khoc?si=cNHz3SFTppMxpuLB,Functions of the mouth as part of the digestive system | CBC Grade 4 Science and Technology,hard
https://youtu.be/ljetu2VZUYo?si=RaHXL0KmGe0svlLc,How to identify parts of the human digestive system | CBC Grade 4 Science and Technology,hard
https://www.youtube.com/watch?v=1IgQqnCMd_w&t=121s,The Lanyard poetry analysis,hard
